Relative Path,File Type,File Size,In Xcode Project,Target Membership,Build Phase,Static Ref Count,Dynamic Risk,Classification,Confidence
AuditReports/UnusedResourcesAudit/AuditMethodology.md,resource,1416,No,,,0,No,CONFIRMED PROJECT ISSUE,Certain
AuditReports/UnusedResourcesAudit/ProjectFileInventory.csv,other,192068,No,,,0,No,,
AuditReports/UnusedResourcesAudit/UnusedResourcesAudit.csv,other,283077,No,,,0,No,,
AuditReports/UnusedResourcesAudit/UnusedResourcesAudit.json,resource,556713,No,,,0,No,CONFIRMED PROJECT ISSUE,Certain
AuditReports/UnusedResourcesAudit/UnusedResourcesAudit.md,resource,35959,No,,,0,No,CONFIRMED PROJECT ISSUE,Certain
AuditReports/UnusedResourcesAudit/audit_unused_resources.py,script,49818,No,,,0,No,REPOSITORY HYGIENE,Medium
CLAUDE.md,resource,7487,No,,,0,No,,
MyFrames/PurePetsLayoutKit/AUDIT.md,resource,1536,No,,,0,No,CONFIRMED PROJECT ISSUE,Certain
MyFrames/PurePetsLayoutKit/CHANGELOG.md,resource,424,No,,,0,No,CONFIRMED PROJECT ISSUE,Certain
MyFrames/PurePetsLayoutKit/Compatibility/PPCollectionLayoutManager.h,source,1689,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
MyFrames/PurePetsLayoutKit/Compatibility/PPPinterestLayout.h,source,1515,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
MyFrames/PurePetsLayoutKit/Examples/PurePetsMarketplaceLayoutExample.swift,source,1857,No,,,0,No,,
MyFrames/PurePetsLayoutKit/INTEGRATION_PROMPT.md,resource,4542,No,,,0,No,CONFIRMED PROJECT ISSUE,Certain
MyFrames/PurePetsLayoutKit/Integration/PPUniversalCellViewModelAdapter.swift.template,other,950,No,,,0,No,REPOSITORY HYGIENE,High
MyFrames/PurePetsLayoutKit/MIGRATION.md,resource,3794,No,,,0,No,CONFIRMED PROJECT ISSUE,Certain
MyFrames/PurePetsLayoutKit/Package.swift,source,591,No,,,0,No,,
MyFrames/PurePetsLayoutKit/README.md,resource,2201,Yes,Pure Pets,Resources,0,No,MANUAL REVIEW REQUIRED,Medium
MyFrames/PurePetsLayoutKit/Sources/PurePetsLayoutKit/PPAdaptiveCollectionViewLayout.swift,source,6203,No,,,0,No,,
MyFrames/PurePetsLayoutKit/Sources/PurePetsLayoutKit/PPAsyncMediaSurface.swift,source,2386,No,,,0,No,,
MyFrames/PurePetsLayoutKit/Sources/PurePetsLayoutKit/PPCollectionLayoutManager.swift,source,14079,No,,,0,No,,
MyFrames/PurePetsLayoutKit/Sources/PurePetsLayoutKit/PPCollectionState.swift,source,243,No,,,0,No,,
MyFrames/PurePetsLayoutKit/Sources/PurePetsLayoutKit/PPCollectionStateView.swift,source,2684,No,,,0,No,,
MyFrames/PurePetsLayoutKit/Sources/PurePetsLayoutKit/PPHeightCacheManager.swift,source,3428,No,,,0,No,,
MyFrames/PurePetsLayoutKit/Sources/PurePetsLayoutKit/PPImageAspectRegistry.swift,source,1073,No,,,0,No,,
MyFrames/PurePetsLayoutKit/Sources/PurePetsLayoutKit/PPInteractionModifiers.swift,source,971,No,,,0,No,,
MyFrames/PurePetsLayoutKit/Sources/PurePetsLayoutKit/PPLayoutConfiguration.swift,source,1816,No,,,0,No,,
MyFrames/PurePetsLayoutKit/Sources/PurePetsLayoutKit/PPLayoutContainer.swift,source,7071,No,,,0,No,,
