Classification,Confidence,Relative Path,Item Name,File Type,File Size,Xcode Project,Target Membership,Build Phase,Project Ref Present,Physical File Present,Static Ref Count,Dynamic Risk,Ref Locations,Reason,Manual Check
CONFIRMED PROJECT ISSUE,Certain,AuditReports/UnusedResourcesAudit/AuditMethodology.md,AuditMethodology.md,resource,1416,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,AuditReports/UnusedResourcesAudit/UnusedResourcesAudit.json,UnusedResourcesAudit.json,resource,556713,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,AuditReports/UnusedResourcesAudit/UnusedResourcesAudit.md,UnusedResourcesAudit.md,resource,35959,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,MyFrames/PurePetsLayoutKit/AUDIT.md,AUDIT.md,resource,1536,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,MyFrames/PurePetsLayoutKit/CHANGELOG.md,CHANGELOG.md,resource,424,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,MyFrames/PurePetsLayoutKit/INTEGRATION_PROMPT.md,INTEGRATION_PROMPT.md,resource,4542,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,MyFrames/PurePetsLayoutKit/MIGRATION.md,MIGRATION.md,resource,3794,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,MyFrames/PurePetsLayoutKit/VALIDATION.md,VALIDATION.md,resource,1070,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,MyFrames/QIBPayment.framework/Modules/QIBPayment.swiftmodule/arm64-apple-ios.abi.json,arm64-apple-ios.abi.json,resource,206438,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/MostUsed/XLForm/XLForm.bundle/add_img@2x.png,add_img@2x.png,resource,149,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/MostUsed/XLForm/XLForm.bundle/add_img@3x.png,add_img@3x.png,resource,166,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/MostUsed/XLForm/XLForm.bundle/compose_picture_add@2x.png,compose_picture_add@2x.png,resource,1854,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
CONFIRMED PROJECT ISSUE,Certain,Pure Pets/DesignFiles/MostUsed/XLForm/XLForm.bundle/forwardarrow@2x.png,forwardarrow@2x.png,resource,1559,None,None,None,No,Yes,0,No,,Resource file on disk not in Xcode project,Add to project or delete
